Date,Time,Open,High,Low,Close,Volume
2016.09.05,15:00,1.46907,1.47015,1.46845,1.46920,1106
2016.09.05,16:00,1.46919,1.46977,1.46863,1.46949,407
2016.09.05,17:00,1.46950,1.47020,1.46940,1.46973,586
2016.09.05,18:00,1.46977,1.47030,1.46958,1.46967,654
2016.09.05,19:00,1.46971,1.47007,1.46919,1.46919,499
2016.09.05,20:00,1.46922,1.47006,1.46892,1.46921,1068
2016.09.05,21:00,1.46898,1.47006,1.46898,1.46929,408
2016.09.05,22:00,1.46925,1.46988,1.46895,1.46935,853
2016.09.05,23:00,1.46939,1.46941,1.46818,1.46848,802
2016.09.06,00:00,1.46843,1.46843,1.46501,1.46573,1290
2016.09.06,01:00,1.46576,1.46580,1.46241,1.46286,1779
2016.09.06,02:00,1.46286,1.46308,1.46089,1.46197,1656
2016.09.06,03:00,1.46194,1.46286,1.46077,1.46083,992
2016.09.06,04:00,1.46083,1.46386,1.46006,1.46206,2091
2016.09.06,05:00,1.46206,1.46235,1.46064,1.46106,1287
2016.09.06,06:00,1.46106,1.46251,1.45924,1.46009,2023
2016.09.06,07:00,1.46007,1.46020,1.45802,1.45937,3242
2016.09.06,08:00,1.45940,1.46107,1.45880,1.46091,2284
2016.09.06,09:00,1.46093,1.46163,1.46027,1.46092,1754
2016.09.06,10:00,1.46095,1.46239,1.46073,1.46227,1679
2016.09.06,11:00,1.46223,1.46375,1.46198,1.46269,2178
2016.09.06,12:00,1.46267,1.46480,1.46187,1.46429,2889
2016.09.06,13:00,1.46427,1.46512,1.46328,1.46400,3138
2016.09.06,14:00,1.46408,1.46557,1.46279,1.46388,8062
2016.09.06,15:00,1.46394,1.46459,1.46325,1.46398,4096
2016.09.06,16:00,1.46401,1.46478,1.46314,1.46434,2037
2016.09.06,17:00,1.46436,1.46583,1.46434,1.46483,2028
2016.09.06,18:00,1.46485,1.46561,1.46453,1.46485,1868
2016.09.06,19:00,1.46480,1.46502,1.46354,1.46356,1175
2016.09.06,20:00,1.46353,1.46428,1.46313,1.46316,835
2016.09.06,21:00,1.46313,1.46427,1.46304,1.46373,607
2016.09.06,22:00,1.46376,1.46462,1.46376,1.46438,1554
2016.09.06,23:00,1.46438,1.46499,1.46317,1.46342,1795
2016.09.07,00:00,1.46343,1.46605,1.46312,1.46535,2473
2016.09.07,01:00,1.46535,1.46796,1.46333,1.46643,3088
2016.09.07,02:00,1.46645,1.46779,1.46576,1.46693,2103
2016.09.07,03:00,1.46691,1.46733,1.46561,1.46634,1377
2016.09.07,04:00,1.46634,1.46634,1.46522,1.46613,1261
2016.09.07,05:00,1.46616,1.46726,1.46517,1.46520,1481
2016.09.07,06:00,1.46524,1.46647,1.46455,1.46623,2457
2016.09.07,07:00,1.46620,1.46951,1.46557,1.46756,3940
2016.09.07,08:00,1.46754,1.46796,1.46611,1.46674,3172
2016.09.07,09:00,1.46671,1.46685,1.46525,1.46536,2156
2016.09.07,10:00,1.46539,1.46542,1.46389,1.46440,1804
2016.09.07,11:00,1.46442,1.46452,1.46349,1.46369,1556
2016.09.07,12:00,1.46367,1.46412,1.46116,1.46196,2991
2016.09.07,13:00,1.46193,1.46344,1.46148,1.46253,3621
2016.09.07,14:00,1.46260,1.46524,1.46176,1.46414,5492
2016.09.07,15:00,1.46426,1.46483,1.46358,1.46388,2912
