Date,Time,Open,High,Low,Close,Volume
2016.11.07,00:00,9.04720,9.05451,9.04470,9.05140,1598
2016.11.07,01:00,9.05150,9.05837,9.05098,9.05521,866
2016.11.07,02:00,9.05530,9.05569,9.05052,9.05120,808
2016.11.07,03:00,9.05130,9.05168,9.05060,9.05131,539
2016.11.07,04:00,9.05125,9.05200,9.05061,9.05143,632
2016.11.07,05:00,9.05143,9.05200,9.04850,9.05064,1085
2016.11.07,06:00,9.05070,9.05465,9.04320,9.04342,1489
2016.11.07,07:00,9.04565,9.06737,9.04354,9.05785,3484
2016.11.07,08:00,9.05804,9.08853,9.05505,9.08535,2542
2016.11.07,09:00,9.08555,9.08981,9.06860,9.08955,3382
2016.11.07,10:00,9.08943,9.10889,9.08920,9.10235,2811
2016.11.07,11:00,9.10241,9.10372,9.09497,9.09780,3596
2016.11.07,12:00,9.09790,9.09950,9.09080,9.09385,1948
2016.11.07,13:00,9.09385,9.11111,9.08905,9.11076,2891
2016.11.07,14:00,9.11076,9.12260,9.10760,9.10985,4323
2016.11.07,15:00,9.10970,9.12002,9.10110,9.10838,6194
2016.11.07,16:00,9.10858,9.10902,9.08888,9.08920,4134
2016.11.07,17:00,9.08920,9.09112,9.08510,9.08842,2721
2016.11.07,18:00,9.08839,9.09560,9.08588,9.08765,2106
2016.11.07,19:00,9.08850,9.09078,9.08675,9.08785,1641
2016.11.07,20:00,9.08785,9.09109,9.08715,9.08942,1445
2016.11.07,21:00,9.08946,9.09230,9.08152,9.08152,188
2016.11.07,22:00,9.08126,9.09715,9.08126,9.09195,408
2016.11.07,23:00,9.09185,9.09850,9.09165,9.09697,747
2016.11.08,00:00,9.09670,9.09760,9.09234,9.09256,1201
2016.11.08,01:00,9.09254,9.09710,9.09231,9.09570,1442
2016.11.08,02:00,9.09563,9.09670,9.09460,9.09479,1011
2016.11.08,03:00,9.09479,9.09490,9.09325,9.09431,726
2016.11.08,04:00,9.09435,9.09455,9.09325,9.09355,178
2016.11.08,05:00,9.09355,9.09584,9.09349,9.09460,501
2016.11.08,06:00,9.09460,9.09594,9.08575,9.08875,699
2016.11.08,07:00,9.08865,9.10295,9.08735,9.09905,2380
2016.11.08,08:00,9.09897,9.10800,9.09258,9.09280,3757
2016.11.08,09:00,9.09268,9.09667,9.08556,9.08782,2498
2016.11.08,10:00,9.08748,9.08830,9.07770,9.08310,3277
2016.11.08,11:00,9.08285,9.09480,9.08109,9.08880,1674
2016.11.08,12:00,9.08890,9.09480,9.07118,9.07509,3170
2016.11.08,13:00,9.07509,9.07568,9.06380,9.06722,3975
2016.11.08,14:00,9.06741,9.08980,9.06741,9.08802,2429
2016.11.08,15:00,9.08802,9.09290,9.06718,9.07879,3516
2016.11.08,16:00,9.07846,9.08280,9.07190,9.07922,3307
2016.11.08,17:00,9.07904,9.07950,9.06882,9.07405,2730
2016.11.08,18:00,9.07416,9.08010,9.07380,9.07850,2689
2016.11.08,19:00,9.07860,9.09156,9.07730,9.08530,4444
2016.11.08,20:00,9.08520,9.08550,9.07786,9.07900,2555
2016.11.08,21:00,9.07918,9.07918,9.06434,9.06564,1998
2016.11.08,22:00,9.06434,9.06965,9.05220,9.05393,601
2016.11.08,23:00,9.05279,9.07532,9.04845,9.07072,4649
2016.11.09,00:00,9.07062,9.08587,9.06600,9.06781,6404
2016.11.09,01:00,9.06770,9.09801,9.05595,9.09790,5230
2016.11.09,02:00,9.09800,9.24970,9.09760,9.17805,7530
2016.11.09,03:00,9.17835,9.24634,9.17166,9.21360,8130
2016.11.09,04:00,9.21360,9.24666,9.19427,9.22689,7149
2016.11.09,05:00,9.22670,9.25152,9.19439,9.20749,3824
2016.11.09,06:00,9.20625,9.22155,9.18186,9.19030,6747
2016.11.09,07:00,9.18985,9.19346,9.12383,9.12780,7273
2016.11.09,08:00,9.12753,9.14573,9.10870,9.12425,8013
2016.11.09,09:00,9.12410,9.13580,9.10440,9.10535,7721
2016.11.09,10:00,9.10525,9.12537,9.09910,9.11458,5589
