Date,Time,Open,High,Low,Close,Volume
2016.11.07,01:00,1.51559,1.51574,1.51350,1.51432,1787
2016.11.07,02:00,1.51438,1.51450,1.51202,1.51395,1296
2016.11.07,03:00,1.51389,1.51452,1.51250,1.51417,828
2016.11.07,04:00,1.51411,1.51553,1.51341,1.51528,469
2016.11.07,05:00,1.51524,1.51555,1.51404,1.51419,789
2016.11.07,06:00,1.51417,1.51435,1.51311,1.51354,782
2016.11.07,07:00,1.51362,1.51598,1.51265,1.51490,1401
2016.11.07,08:00,1.51498,1.51522,1.51211,1.51287,1347
2016.11.07,09:00,1.51291,1.51461,1.51181,1.51405,1210
2016.11.07,10:00,1.51401,1.51652,1.51207,1.51318,1809
2016.11.07,11:00,1.51312,1.51344,1.51207,1.51322,1119
2016.11.07,12:00,1.51322,1.51365,1.51161,1.51162,1159
2016.11.07,13:00,1.51156,1.51202,1.50975,1.50993,1477
2016.11.07,14:00,1.50993,1.51195,1.50943,1.51068,1347
2016.11.07,15:00,1.51068,1.51082,1.50782,1.50865,1657
2016.11.07,16:00,1.50858,1.50966,1.50683,1.50687,1229
2016.11.07,17:00,1.50686,1.50751,1.50629,1.50711,702
2016.11.07,18:00,1.50710,1.50768,1.50672,1.50679,527
2016.11.07,19:00,1.50688,1.50746,1.50653,1.50728,485
2016.11.07,20:00,1.50728,1.50806,1.50589,1.50632,376
2016.11.07,21:00,1.50625,1.50625,1.50155,1.50223,752
2016.11.07,22:00,1.50293,1.50353,1.50170,1.50258,976
2016.11.07,23:00,1.50269,1.50574,1.50244,1.50545,398
2016.11.08,00:00,1.50539,1.50619,1.50427,1.50565,812
2016.11.08,01:00,1.50557,1.50646,1.50493,1.50514,969
2016.11.08,02:00,1.50508,1.50705,1.50503,1.50636,934
2016.11.08,03:00,1.50629,1.50697,1.50542,1.50639,618
2016.11.08,04:00,1.50645,1.50686,1.50557,1.50620,372
2016.11.08,05:00,1.50634,1.50648,1.50491,1.50608,460
2016.11.08,06:00,1.50611,1.50675,1.50510,1.50624,418
2016.11.08,07:00,1.50632,1.50773,1.50610,1.50640,942
2016.11.08,08:00,1.50641,1.50766,1.50584,1.50692,1211
2016.11.08,09:00,1.50698,1.50704,1.50427,1.50486,929
2016.11.08,10:00,1.50480,1.50592,1.50460,1.50570,972
2016.11.08,11:00,1.50578,1.50810,1.50536,1.50684,833
2016.11.08,12:00,1.50693,1.50721,1.50589,1.50590,1084
2016.11.08,13:00,1.50597,1.50629,1.50446,1.50514,954
2016.11.08,14:00,1.50514,1.50632,1.50397,1.50536,1080
2016.11.08,15:00,1.50543,1.50543,1.49911,1.49947,2009
2016.11.08,16:00,1.49954,1.50211,1.49909,1.49992,1872
2016.11.08,17:00,1.49991,1.50004,1.49653,1.49684,945
2016.11.08,18:00,1.49689,1.49901,1.49313,1.49441,1107
2016.11.08,19:00,1.49434,1.49574,1.49298,1.49364,893
2016.11.08,20:00,1.49372,1.49373,1.48825,1.48844,1685
2016.11.08,21:00,1.48845,1.49280,1.48752,1.49194,1631
2016.11.08,22:00,1.49157,1.49518,1.49009,1.49490,683
2016.11.08,23:00,1.49482,1.49505,1.49241,1.49456,2699
2016.11.09,00:00,1.49456,1.49905,1.48854,1.48995,7642
2016.11.09,01:00,1.49001,1.49695,1.48794,1.49634,6637
2016.11.09,02:00,1.49635,1.51919,1.49635,1.50788,9726
2016.11.09,03:00,1.50789,1.52949,1.50783,1.52863,7414
2016.11.09,04:00,1.52866,1.54849,1.52581,1.54436,9644
2016.11.09,05:00,1.54442,1.55113,1.53582,1.54238,8029
2016.11.09,06:00,1.54237,1.54238,1.52982,1.53451,7959
2016.11.09,07:00,1.53451,1.53470,1.51666,1.51879,6986
