Date,Time,Open,High,Low,Close,Volume
2016.11.07,01:00,1.62467,1.62607,1.62341,1.62551,1863
2016.11.07,02:00,1.62547,1.62570,1.62200,1.62321,1523
2016.11.07,03:00,1.62317,1.62333,1.62158,1.62233,1236
2016.11.07,04:00,1.62229,1.62321,1.62122,1.62273,841
2016.11.07,05:00,1.62273,1.62286,1.61884,1.62028,1302
2016.11.07,06:00,1.62023,1.62081,1.61805,1.61860,3970
2016.11.07,07:00,1.61865,1.61954,1.61436,1.61448,3696
2016.11.07,08:00,1.61445,1.61724,1.61152,1.61313,4416
2016.11.07,09:00,1.61321,1.61500,1.61235,1.61434,4264
2016.11.07,10:00,1.61437,1.61786,1.61253,1.61647,4943
2016.11.07,11:00,1.61644,1.61870,1.61633,1.61783,3892
2016.11.07,12:00,1.61778,1.61828,1.61676,1.61725,3405
2016.11.07,13:00,1.61725,1.61800,1.61555,1.61560,3904
2016.11.07,14:00,1.61551,1.61623,1.60794,1.60865,5558
2016.11.07,15:00,1.60870,1.61124,1.60724,1.61064,6517
2016.11.07,16:00,1.61060,1.61307,1.60983,1.61036,4922
2016.11.07,17:00,1.61036,1.61045,1.60805,1.60897,3564
2016.11.07,18:00,1.60897,1.60976,1.60692,1.60720,3390
2016.11.07,19:00,1.60727,1.60768,1.60518,1.60632,2742
2016.11.07,20:00,1.60638,1.60788,1.60623,1.60652,1359
2016.11.07,21:00,1.60657,1.60681,1.60295,1.60295,1063
2016.11.07,22:00,1.60306,1.60592,1.60273,1.60522,920
2016.11.07,23:00,1.60507,1.60680,1.60389,1.60606,2220
2016.11.08,00:00,1.60594,1.60829,1.60493,1.60814,1838
2016.11.08,01:00,1.60812,1.61100,1.60758,1.60902,1435
2016.11.08,02:00,1.60901,1.61096,1.60861,1.61011,1264
2016.11.08,03:00,1.61015,1.61051,1.60841,1.60882,934
2016.11.08,04:00,1.60887,1.60922,1.60772,1.60847,530
2016.11.08,05:00,1.60843,1.60909,1.60750,1.60905,669
2016.11.08,06:00,1.60902,1.61118,1.60878,1.61114,966
2016.11.08,07:00,1.61113,1.61357,1.61036,1.61204,2737
2016.11.08,08:00,1.61208,1.61339,1.61088,1.61122,2965
2016.11.08,09:00,1.61122,1.61235,1.61026,1.61146,2706
2016.11.08,10:00,1.61143,1.61299,1.61017,1.61095,3066
2016.11.08,11:00,1.61099,1.61309,1.61037,1.61141,2754
2016.11.08,12:00,1.61143,1.61221,1.60812,1.60892,2573
2016.11.08,13:00,1.60892,1.60983,1.60548,1.60548,2796
2016.11.08,14:00,1.60544,1.60795,1.60317,1.60638,3907
2016.11.08,15:00,1.60633,1.60807,1.60426,1.60738,4621
2016.11.08,16:00,1.60734,1.60847,1.59949,1.59972,4466
2016.11.08,17:00,1.59975,1.60029,1.59769,1.60017,3048
2016.11.08,18:00,1.60015,1.60275,1.59872,1.59940,2297
2016.11.08,19:00,1.59941,1.60078,1.59827,1.59871,1674
2016.11.08,20:00,1.59868,1.59924,1.59121,1.59183,2087
2016.11.08,21:00,1.59180,1.59512,1.58964,1.59383,1897
2016.11.08,22:00,1.59364,1.59725,1.59204,1.59717,1078
2016.11.08,23:00,1.59711,1.59934,1.59372,1.59875,3738
2016.11.09,00:00,1.59875,1.60544,1.59124,1.59134,9413
2016.11.09,01:00,1.59109,1.60363,1.59021,1.60317,8158
2016.11.09,02:00,1.60316,1.62866,1.60159,1.61370,10672
2016.11.09,03:00,1.61370,1.64091,1.61346,1.63736,9103
2016.11.09,04:00,1.63742,1.65419,1.63195,1.65014,10123
2016.11.09,05:00,1.65019,1.65238,1.63940,1.64230,8955
2016.11.09,06:00,1.64230,1.64230,1.62934,1.63147,9754
2016.11.09,07:00,1.63147,1.63295,1.61264,1.61341,9495
2016.11.09,08:00,1.61349,1.62398,1.60936,1.62007,10555
2016.11.09,09:00,1.62007,1.62127,1.61371,1.61569,9008
2016.11.09,10:00,1.61582,1.62078,1.61388,1.62062,8103
2016.11.09,11:00,1.62056,1.62269,1.61700,1.61739,5847
2016.11.09,12:00,1.61735,1.61749,1.61070,1.61173,7375
2016.11.09,13:00,1.61173,1.61408,1.60809,1.61055,7839
2016.11.09,14:00,1.61055,1.61708,1.60630,1.61484,8401
2016.11.09,15:00,1.61487,1.62607,1.61439,1.62592,8840
2016.11.09,16:00,1.62607,1.63093,1.62365,1.62480,8530
2016.11.09,17:00,1.62487,1.62961,1.62343,1.62464,7262
2016.11.09,18:00,1.62467,1.62878,1.62319,1.62711,6419
2016.11.09,19:00,1.62711,1.62753,1.62487,1.62681,5324
2016.11.09,20:00,1.62692,1.62703,1.62089,1.62089,3233
2016.11.09,21:00,1.62090,1.62610,1.62068,1.62483,2210
2016.11.09,22:00,1.62453,1.62570,1.62083,1.62368,538
2016.11.09,23:00,1.62383,1.62535,1.62279,1.62291,1536
2016.11.10,00:00,1.62282,1.62551,1.62148,1.62169,2988
2016.11.10,01:00,1.62170,1.62176,1.61732,1.61773,2278
2016.11.10,02:00,1.61774,1.62140,1.61702,1.62029,1806
2016.11.10,03:00,1.62054,1.62086,1.61841,1.61923,2176
2016.11.10,04:00,1.61940,1.62008,1.61664,1.62008,1763
2016.11.10,05:00,1.62002,1.62028,1.61642,1.61877,1565
2016.11.10,06:00,1.61877,1.62010,1.61631,1.61695,1344
2016.11.10,07:00,1.61697,1.61922,1.61630,1.61694,2760
2016.11.10,08:00,1.61695,1.61744,1.60905,1.61094,4654
2016.11.10,09:00,1.61089,1.61174,1.60793,1.60793,4120
2016.11.10,10:00,1.60790,1.60807,1.59937,1.60381,3784
2016.11.10,11:00,1.60385,1.61438,1.60361,1.61324,3537
2016.11.10,12:00,1.61325,1.62693,1.61325,1.62683,4433
2016.11.10,13:00,1.62678,1.63084,1.62565,1.62883,4736
2016.11.10,14:00,1.62883,1.64596,1.62879,1.64380,5388
2016.11.10,15:00,1.64369,1.64877,1.63915,1.64826,7954
2016.11.10,16:00,1.64729,1.65175,1.64581,1.64958,6563
2016.11.10,17:00,1.64954,1.64975,1.64347,1.64545,4845
2016.11.10,18:00,1.64540,1.64814,1.64418,1.64711,4422
2016.11.10,19:00,1.64717,1.65047,1.64531,1.65009,4316
2016.11.10,20:00,1.65020,1.65109,1.64795,1.65034,3792
2016.11.10,21:00,1.65027,1.65058,1.64798,1.64844,1789
2016.11.10,22:00,1.64847,1.65053,1.64654,1.64708,568
2016.11.10,23:00,1.64704,1.64982,1.64701,1.64909,1616
2016.11.11,00:00,1.64906,1.65393,1.64695,1.65080,2418
2016.11.11,01:00,1.65079,1.65193,1.64889,1.65052,2527
2016.11.11,02:00,1.65052,1.66060,1.65047,1.65507,3318
2016.11.11,03:00,1.65507,1.65612,1.65131,1.65208,2776
2016.11.11,04:00,1.65215,1.65264,1.64672,1.64887,2517
2016.11.11,05:00,1.64893,1.64995,1.64717,1.64758,1667
2016.11.11,06:00,1.64753,1.64999,1.64620,1.64795,3455
2016.11.11,07:00,1.64812,1.65591,1.64798,1.65364,4909
2016.11.11,08:00,1.65368,1.66292,1.65267,1.66277,6577
2016.11.11,09:00,1.66281,1.66604,1.65970,1.66523,6795
2016.11.11,10:00,1.66524,1.66994,1.66469,1.66576,5935
2016.11.11,11:00,1.66581,1.66828,1.66420,1.66429,3735
2016.11.11,12:00,1.66426,1.66547,1.66023,1.66079,4662
2016.11.11,13:00,1.66082,1.66632,1.66012,1.66264,5545
2016.11.11,14:00,1.66256,1.67348,1.66198,1.67275,5166
2016.11.11,15:00,1.67272,1.67501,1.66467,1.66861,6951
2016.11.11,16:00,1.66861,1.67137,1.66624,1.66795,5772
2016.11.11,17:00,1.66793,1.66940,1.66575,1.66693,4716
2016.11.11,18:00,1.66698,1.67049,1.66698,1.66898,3941
2016.11.11,19:00,1.66903,1.67257,1.66885,1.67213,3805
2016.11.11,20:00,1.67217,1.67230,1.66849,1.66938,3208
2016.11.11,21:00,1.66941,1.67007,1.66789,1.66941,1358
