Date,Time,Open,High,Low,Close,Volume
2016.11.07,01:00,1.70380,1.70445,1.70176,1.70299,1601
2016.11.07,02:00,1.70289,1.70307,1.70096,1.70268,1264
2016.11.07,03:00,1.70267,1.70362,1.70108,1.70246,1083
2016.11.07,04:00,1.70246,1.70470,1.70172,1.70432,734
2016.11.07,05:00,1.70431,1.70448,1.70009,1.70120,1175
2016.11.07,06:00,1.70116,1.70155,1.69879,1.70008,1284
2016.11.07,07:00,1.70009,1.70188,1.69890,1.69971,1893
2016.11.07,08:00,1.69965,1.70175,1.69496,1.69621,2584
2016.11.07,09:00,1.69631,1.69751,1.69514,1.69691,2175
2016.11.07,10:00,1.69697,1.69974,1.69493,1.69712,2333
2016.11.07,11:00,1.69712,1.69932,1.69668,1.69845,1606
2016.11.07,12:00,1.69837,1.69967,1.69746,1.69755,1892
2016.11.07,13:00,1.69753,1.69887,1.69644,1.69720,2408
2016.11.07,14:00,1.69714,1.69830,1.69367,1.69420,2185
2016.11.07,15:00,1.69426,1.69527,1.69233,1.69443,1985
2016.11.07,16:00,1.69437,1.69675,1.69290,1.69325,1504
2016.11.07,17:00,1.69324,1.69349,1.69126,1.69281,987
2016.11.07,18:00,1.69291,1.69377,1.69152,1.69220,723
2016.11.07,19:00,1.69230,1.69337,1.69152,1.69320,656
2016.11.07,20:00,1.69314,1.69399,1.69149,1.69151,479
2016.11.07,21:00,1.69141,1.69164,1.68606,1.68651,503
2016.11.07,22:00,1.68720,1.68834,1.68583,1.68677,675
2016.11.07,23:00,1.68667,1.68953,1.68592,1.68921,692
2016.11.08,00:00,1.68910,1.69082,1.68811,1.69066,1249
2016.11.08,01:00,1.69061,1.69206,1.69023,1.69073,1517
2016.11.08,02:00,1.69063,1.69248,1.69046,1.69168,1287
2016.11.08,03:00,1.69175,1.69231,1.68990,1.69092,954
2016.11.08,04:00,1.69100,1.69177,1.68966,1.68993,634
2016.11.08,05:00,1.68987,1.69115,1.68878,1.69111,776
2016.11.08,06:00,1.69105,1.69236,1.69018,1.69205,715
2016.11.08,07:00,1.69212,1.69473,1.69149,1.69328,1598
2016.11.08,08:00,1.69334,1.69502,1.69284,1.69365,2061
