Date,Time,Open,High,Low,Close,Volume
2016.10.17,05:00,1.31574,1.31591,1.31528,1.31570,1120
2016.10.17,06:00,1.31569,1.31642,1.31493,1.31587,2387
2016.10.17,07:00,1.31586,1.31789,1.31534,1.31785,4099
2016.10.17,08:00,1.31783,1.31819,1.31620,1.31653,2524
2016.10.17,09:00,1.31656,1.31696,1.31563,1.31593,2632
2016.10.17,10:00,1.31597,1.31639,1.31380,1.31472,2483
2016.10.17,11:00,1.31472,1.31499,1.31294,1.31346,3121
2016.10.17,12:00,1.31344,1.31448,1.31177,1.31292,4072
2016.10.17,13:00,1.31291,1.31451,1.31198,1.31371,5601
2016.10.17,14:00,1.31375,1.31608,1.31309,1.31485,5789
2016.10.17,15:00,1.31483,1.31498,1.31309,1.31353,4993
2016.10.17,16:00,1.31351,1.31400,1.31274,1.31299,2279
2016.10.17,17:00,1.31299,1.31344,1.31214,1.31300,2625
2016.10.17,18:00,1.31302,1.31384,1.31236,1.31238,2217
2016.10.17,19:00,1.31240,1.31316,1.31197,1.31274,1734
2016.10.17,20:00,1.31277,1.31317,1.31243,1.31249,1236
2016.10.17,21:00,1.31246,1.31346,1.31220,1.31265,270
2016.10.17,22:00,1.31266,1.31304,1.31202,1.31230,1814
2016.10.17,23:00,1.31230,1.31281,1.31139,1.31143,917
2016.10.18,00:00,1.31149,1.31157,1.30857,1.30931,1505
2016.10.18,01:00,1.30932,1.30973,1.30820,1.30916,1392
2016.10.18,02:00,1.30914,1.30943,1.30881,1.30920,914
2016.10.18,03:00,1.30921,1.31002,1.30894,1.30914,728
2016.10.18,04:00,1.30913,1.30932,1.30871,1.30929,614
2016.10.18,05:00,1.30927,1.30982,1.30896,1.30956,1492
2016.10.18,06:00,1.30955,1.30970,1.30744,1.30787,2315
2016.10.18,07:00,1.30787,1.30843,1.30684,1.30741,3191
2016.10.18,08:00,1.30739,1.30739,1.30609,1.30691,3215
2016.10.18,09:00,1.30693,1.30731,1.30628,1.30670,3505
2016.10.18,10:00,1.30673,1.30709,1.30537,1.30623,2921
2016.10.18,11:00,1.30621,1.30763,1.30588,1.30755,2514
2016.10.18,12:00,1.30757,1.30921,1.30539,1.30910,4772
2016.10.18,13:00,1.30913,1.31031,1.30727,1.30998,5075
2016.10.18,14:00,1.31002,1.31374,1.30943,1.31352,5966
2016.10.18,15:00,1.31351,1.31383,1.31029,1.31040,4595
2016.10.18,16:00,1.31039,1.31115,1.31013,1.31065,2012
