Date,Time,Open,High,Low,Close,Volume
2016.10.12,07:00,0.98831,0.98965,0.98794,0.98813,2018
2016.10.12,08:00,0.98816,0.99015,0.98812,0.98983,1952
2016.10.12,09:00,0.98981,0.99014,0.98916,0.98926,1491
2016.10.12,10:00,0.98927,0.99028,0.98884,0.98902,1317
2016.10.12,11:00,0.98900,0.98918,0.98790,0.98887,1316
2016.10.12,12:00,0.98887,0.99012,0.98887,0.98966,1836
2016.10.12,13:00,0.98967,0.99018,0.98868,0.98926,2276
2016.10.12,14:00,0.98924,0.99032,0.98801,0.99023,2650
2016.10.12,15:00,0.99022,0.99085,0.98966,0.99021,2763
2016.10.12,16:00,0.99022,0.99022,0.98828,0.98878,1982
2016.10.12,17:00,0.98878,0.98967,0.98866,0.98948,1285
2016.10.12,18:00,0.98948,0.99075,0.98749,0.99065,3630
2016.10.12,19:00,0.99067,0.99080,0.98964,0.99004,1580
2016.10.12,20:00,0.99004,0.99073,0.98997,0.99034,383
2016.10.12,21:00,0.99037,0.99064,0.98907,0.99015,521
2016.10.12,22:00,0.99028,0.99060,0.98995,0.99007,1029
2016.10.12,23:00,0.99007,0.99027,0.98989,0.99008,431
2016.10.13,00:00,0.99007,0.99079,0.98998,0.99069,926
2016.10.13,01:00,0.99069,0.99083,0.98998,0.99031,879
2016.10.13,02:00,0.99030,0.99033,0.98788,0.98821,1964
2016.10.13,03:00,0.98823,0.98909,0.98784,0.98887,859
2016.10.13,04:00,0.98887,0.98940,0.98877,0.98920,874
2016.10.13,05:00,0.98917,0.98931,0.98836,0.98839,671
2016.10.13,06:00,0.98840,0.98922,0.98788,0.98894,1975
2016.10.13,07:00,0.98896,0.98941,0.98725,0.98833,3305
2016.10.13,08:00,0.98831,0.99010,0.98828,0.98945,2140
2016.10.13,09:00,0.98964,0.98967,0.98758,0.98839,1618
2016.10.13,10:00,0.98840,0.99016,0.98780,0.98878,1818
2016.10.13,11:00,0.98877,0.98879,0.98691,0.98767,1689
2016.10.13,12:00,0.98769,0.98890,0.98724,0.98732,2661
2016.10.13,13:00,0.98733,0.98878,0.98723,0.98764,2671
2016.10.13,14:00,0.98766,0.98845,0.98668,0.98784,3243
2016.10.13,15:00,0.98786,0.98872,0.98638,0.98688,2602
2016.10.13,16:00,0.98686,0.98760,0.98627,0.98723,1553
2016.10.13,17:00,0.98726,0.98726,0.98598,0.98619,1578
2016.10.13,18:00,0.98621,0.98683,0.98580,0.98592,1223
2016.10.13,19:00,0.98594,0.98689,0.98587,0.98660,722
2016.10.13,20:00,0.98658,0.98660,0.98571,0.98571,337
2016.10.13,21:00,0.98573,0.98647,0.98557,0.98621,234
2016.10.13,22:00,0.98623,0.98646,0.98591,0.98593,570
2016.10.13,23:00,0.98595,0.98663,0.98584,0.98650,532
2016.10.14,00:00,0.98651,0.98692,0.98633,0.98633,1196
2016.10.14,01:00,0.98628,0.98630,0.98549,0.98608,1309
2016.10.14,02:00,0.98606,0.98647,0.98596,0.98616,806
2016.10.14,03:00,0.98617,0.98709,0.98614,0.98696,922
2016.10.14,04:00,0.98697,0.98774,0.98696,0.98753,601
2016.10.14,05:00,0.98752,0.98823,0.98751,0.98769,519
2016.10.14,06:00,0.98769,0.98806,0.98725,0.98770,1307
2016.10.14,07:00,0.98772,0.98907,0.98728,0.98871,1934
2016.10.14,08:00,0.98869,0.98870,0.98713,0.98747,1314
2016.10.14,09:00,0.98747,0.98914,0.98747,0.98890,1636
2016.10.14,10:00,0.98890,0.98931,0.98831,0.98927,1411
2016.10.14,11:00,0.98928,0.98950,0.98856,0.98930,1451
2016.10.14,12:00,0.98929,0.99007,0.98802,0.98892,3244
2016.10.14,13:00,0.98894,0.99005,0.98740,0.98817,3594
2016.10.14,14:00,0.98815,0.98862,0.98588,0.98857,3486
2016.10.14,15:00,0.98853,0.99014,0.98803,0.99005,2642
2016.10.14,16:00,0.99003,0.99028,0.98891,0.98972,1422
2016.10.14,17:00,0.98970,0.98971,0.98701,0.98943,2511
2016.10.14,18:00,0.98947,0.98992,0.98835,0.98973,2152
2016.10.14,19:00,0.98971,0.99037,0.98960,0.99032,926
2016.10.14,20:00,0.99031,0.99031,0.98967,0.98976,374
2016.10.16,21:00,0.98969,0.99037,0.98956,0.98963,71
2016.10.16,22:00,0.99009,0.99043,0.98974,0.99032,481
2016.10.16,23:00,0.99037,0.99042,0.99011,0.99035,300
2016.10.17,00:00,0.99034,0.99053,0.98992,0.99045,682
2016.10.17,01:00,0.99045,0.99048,0.98974,0.99014,859
2016.10.17,02:00,0.99013,0.99049,0.98973,0.98977,624
2016.10.17,03:00,0.98980,0.99021,0.98874,0.98907,681
